,ticker,quarter,net_income,total_assets,total_debt,cash,shareholder_equity,shares_outstanding,stock_price,roa,log_assets,leverage,liquidity,market_cap,pb_ratio,btc_price,log_btc_price,hashrate,log_hashrate
1201,WULF,2019q2,-115711.0,16699939.0,2886738.0,297186.0,12523159.0,1982275.0,6.0178,-0.006928827704101194,16.630915624685702,0.17285919427609886,0.01779563386429136,11928934.495000001,0.9525499512543122,11132.85,9.31765547618065,64293187.5738079,17.978964236064808
1202,WULF,2019q1,-455031.0,16999264.0,2918285.0,617246.0,12657919.0,1983553.0,6.6597,-0.0267676882952109,16.648680606965627,0.17167125588496066,0.03631016025164384,13209867.9141,1.0436050281329814,4048.51,8.306104191173755,46298790.8217788,17.650626402555144
1203,WULF,2018q4,149619.0,17419218.0,2950939.0,1623137.0,13111030.0,1983553.0,7.7028,0.008589306362662204,16.673084637451037,0.16940708819420022,0.09318081902413759,15278912.0484,1.1653479588102535,3770.36,8.23492576659929,44676132.2352876,17.614949962511506
1204,WULF,2018q3,-24752.0,17306077.0,2982776.0,1559725.0,12957831.0,1983553.0,8.2243,-0.00143024903910921,16.666568269462857,0.1723542545199585,0.09012585579042552,16313334.9379,1.2589556799976787,6628.66,8.799157951138728,54045018.5377396,17.80532793383802
1205,WULF,2018q2,145336.0,17405304.0,3013296.0,1355828.0,12979002.0,1983553.0,6.6597,0.008350098337840006,16.672285545320474,0.17312515771054615,0.07789740414760926,13209867.9141,1.017787647624987,5878.14,8.67899566432027,38112980.7562709,17.45606548433542
1206,WULF,2018q1,-130738.0,16985529.0,3044747.0,1162188.0,12830086.0,1983553.0,6.427,-0.00769702256550267,16.647872304219877,0.17925535318917651,0.06842224342850906,12748295.131,0.9936250724274178,7950.61,8.981003934264564,26162835.2122593,17.07985045835414
1207,WULF,2017q4,368769.0,16924230.0,3077417.0,929700.0,12957931.0,2007613.0,6.5794,0.02178941080332754,16.644256880897558,0.18183497860759396,0.05493307524182784,13208888.972199999,1.0193671329319471,12612.54,9.442446836113723,15177350.2495293,16.53531475932822
1208,WULF,2017q3,-110953.0,9335835.0,3109609.0,2001244.0,12649807.0,2005096.0,7.2322,-0.011884635921693133,16.0493707792705,0.3330831146865813,0.21436154345058583,14501255.291199999,1.1463617817410179,4164.27,8.334296269131299,7569349.3884371,15.839617675674761
1209,WULF,2017q2,-105066.0,9685379.0,3141385.0,1240086.0,12973476.0,2018466.0,7.0413,-0.010847897640350471,16.086127986736972,0.32434301228687074,0.12803691006825857,14212624.6458,1.0955140045582232,2541.69,7.840584493093233,5448313.58083809,15.510816684046022
1210,WULF,2017q1,-378897.0,9567537.0,3172971.0,608340.0,13085724.0,2018753.0,8.6429,-0.0396023553397285,16.073886363533465,0.331639271423774,0.06358376246676653,17447880.3037,1.3333523084928278,1039.77,6.946754813831147,4073274.03319987,15.219957664799406
1212,WULF,2016q3,82266.0,9528000.0,3236066.0,917032.0,13446278.0,2018842.0,10.5993,0.008634130982367759,16.069745390017275,0.339637489504618,0.09624601175482787,21398312.0106,1.5913929498259667,606.79,6.408182767444053,2026558.28894994,14.521849487997287
1213,WULF,2016q2,39225.0,9231170.0,3266953.0,800889.0,13357390.0,2018833.0,9.1872,0.004249190514311837,16.038096359008975,0.35390454297775903,0.08675920820437713,18547422.537600003,1.388551396462932,630.19,6.4460213612188575,1530560.02931465,14.24114425862696
1242,OLB,2025q3,-1175020.0,12248123.0,107997.0,3540.0,5258134.0,8732923.0,1.52,-0.09593469954539156,16.320883258725143,0.008817432679276654,0.000289023877372884,13274042.96,2.5244778775132017,109688.85,11.60540300025889,1167521713.2756777,20.878149145429184
1243,OLB,2025q2,-2124314.0,12386068.0,145934.0,2662.0,6399279.0,4390281.0,1.47,-0.17150834308353546,16.332082850534505,0.011782108737010001,0.00021491889112832256,6453713.07,1.0085062817233004,107110.33,11.581614703698753,911172262.800523,20.630242529335998
1244,OLB,2025q1,-1088998.0,12504191.0,364882.0,29340.0,2291174.0,2360939.0,1.35,-0.08709064025013694,16.34157442607875,0.02918077626933242,0.002346413294550603,3187267.6500000004,1.3911067644796948,87187.77,11.375819347767221,870857131.0489082,20.584988492716118
