ticker,fiscal quarter,fiscal date,net income,total assets,roa,roa percent
SLNH,2021q1,2021-03-31,-666000.0,9381000.0,-0.0709945634793732,-7.1
SLNH,2020q4,2020-12-31,-26000.0,8647000.0,-0.0030068231756678,-0.3
SLNH,2020q3,2020-09-30,1507000.0,8438000.0,0.1785968238919175,17.86
SLNH,2020q2,2020-06-30,602000.0,7257000.0,0.0829543888659225,8.3
SLNH,2020q1,2020-03-31,-137000.0,5604000.0,-0.024446823697359,-2.44
SLNH,2019q4,2019-12-31,-113000.0,5751000.0,-0.0196487567379586,-1.96
SLNH,2019q3,2019-09-30,38000.0,4964000.0,0.007655116841257,0.77
SLNH,2019q2,2019-06-30,311000.0,5037000.0,0.0617431010522136,6.17
SLNH,2019q1,2019-03-31,87000.0,4607000.0,0.0188843064901237,1.89
SLNH,2018q4,2018-12-31,1206000.0,8138000.0,0.148193659375768,14.82
SLNH,2018q3,2018-09-30,356000.0,6780000.0,0.0525073746312684,5.25
SLNH,2018q2,2018-06-30,368000.0,6501000.0,0.056606675896016,5.66
SLNH,2018q1,2018-03-31,5000.0,6152000.0,0.0008127438231469,0.08
SLNH,2017q4,2017-12-31,339000.0,6202000.0,0.0546597871654305,5.47
SLNH,2017q3,2017-09-30,344000.0,5637000.0,0.0610253681036012,6.1
SLNH,2017q2,2017-06-30,313000.0,5367000.0,0.0583193590460219,5.83
SLNH,2017q1,2017-03-31,-413000.0,4950000.0,-0.0834343434343434,-8.34
SLNH,2016q4,2016-12-31,-211000.0,5180000.0,-0.0407335907335907,-4.07
SLNH,2016q3,2016-09-30,329000.0,2694000.0,0.1221232368225686,12.21
SLNH,2016q2,2016-06-30,108000.0,2522000.0,0.042823156225218,4.28
SLNH,2016q1,2016-03-31,-586000.0,2252000.0,-0.2602131438721137,-26.02
SLNH,2015q4,2015-12-31,-1617000.0,2586000.0,-0.6252900232018561,-62.53
SLNH,2015q3,2015-09-30,-610000.0,4345000.0,-0.1403912543153049,-14.04
SLNH,2015q2,2015-06-30,-218000.0,4903000.0,-0.0444625739343259,-4.45
SLNH,2015q1,2015-03-31,-388000.0,4999000.0,-0.0776155231046209,-7.76
SLNH,2014q4,2014-12-31,1047000.0,5479000.0,0.1910932651943785,19.11
SLNH,2014q3,2014-09-30,-53000.0,4460000.0,-0.0118834080717488,-1.19
SLNH,2014q2,2014-06-30,178000.0,4654000.0,0.0382466695315857,3.82
SLNH,2014q1,2014-03-31,-432000.0,4002000.0,-0.1079460269865067,-10.79
SLNH,2013q4,2013-12-31,3304000.0,4534000.0,0.7287163652404058,72.87
SLNH,2013q3,2013-09-30,164000.0,4634000.0,0.0353905912818299,3.54
SLNH,2013q2,2013-06-30,100000.0,4359000.0,0.0229410415232851,2.29
SLNH,2013q1,2013-03-31,86000.0,4512000.0,0.0190602836879432,1.91
SLNH,2012q4,2012-12-31,454000.0,4845000.0,0.0937048503611971,9.37
SLNH,2012q3,2012-09-30,-1149000.0,4214000.0,-0.2726625533934504,-27.27
