ticker,quarter,field,raw_value
SOS,2021q3,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
SOS,2021q3,price_report,MISSING
SOS,2021q2,price_report,MISSING
SOS,2021q1,price_report,MISSING
SOS,2020q4,price_report,MISSING
SOS,2020q3,netIncome,'None'
SOS,2020q3,totalAssets,'None'
SOS,2020q3,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
SOS,2020q3,cash (cashAndCashEquivalentsAtCarryingValue/cashAndShortTermInvestments/cash),"{'cashAndCashEquivalentsAtCarryingValue': 'None', 'cashAndShortTermInvestments': 'None', 'cash': None}"
SOS,2020q3,totalShareholderEquity,'None'
SOS,2020q3,commonStockSharesOutstanding,'None'
SOS,2020q3,price_report,MISSING
SOS,2020q2,price_report,MISSING
SOS,2020q1,price_report,MISSING
SOS,2019q4,price_report,MISSING
SOS,2019q3,price_report,MISSING
SOS,2019q2,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
SOS,2019q2,price_report,MISSING
SOS,2019q1,totalAssets,'None'
SOS,2019q1,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
SOS,2019q1,cash (cashAndCashEquivalentsAtCarryingValue/cashAndShortTermInvestments/cash),"{'cashAndCashEquivalentsAtCarryingValue': 'None', 'cashAndShortTermInvestments': 'None', 'cash': None}"
SOS,2019q1,totalShareholderEquity,'None'
SOS,2019q1,price_report,MISSING
SOS,2018q4,price_report,MISSING
SOS,2018q3,price_report,MISSING
SOS,2018q2,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
SOS,2018q2,price_report,MISSING
SOS,2018q1,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
SOS,2018q1,price_report,MISSING
SOS,2017q4,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
SOS,2017q4,price_report,MISSING
SOS,2017q3,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
SOS,2017q3,price_report,MISSING
SOS,2017q2,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
SOS,2017q2,price_report,MISSING
SOS,2017q1,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
SOS,2017q1,price_report,MISSING
SOS,2016q4,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
SOS,2016q4,price_report,MISSING
SOS,2016q3,totalAssets,'None'
